date,hospital_branch,weekday,total_beds,icu_beds,occupied_beds,occupied_icu_beds,available_beds,admissions,discharges,emergency_cases,staff_available,occupancy_rate,icu_utilization,occupancy_lag_1,occupancy_lag_7,rolling_avg_7,hospital_branch_encoded,target_occupancy,patient_flow
2018-01-08,Metro Hospital,Wednesday,175,31,174,31,1,24,22,33,71,99.42857142857143,100.0,98.28571428571429,80.0,99.42857142857143,0,100.0,2
2018-01-09,Metro Hospital,Thursday,175,31,175,31,0,63,18,11,69,100.0,100.0,99.42857142857143,100.0,99.42857142857143,0,100.0,45
2018-01-10,Metro Hospital,Friday,175,31,175,29,0,63,45,15,81,100.0,93.54838709677419,100.0,98.28571428571429,99.67346938775509,0,100.0,18
2018-01-11,Metro Hospital,Saturday,175,31,175,25,0,45,36,33,117,100.0,80.64516129032258,100.0,100.0,99.67346938775509,0,100.0,9
2018-01-12,Metro Hospital,Sunday,175,31,175,25,0,58,24,22,117,100.0,80.64516129032258,100.0,100.0,99.67346938775509,0,95.42857142857143,34
2018-01-13,Metro Hospital,Monday,175,31,167,29,8,42,50,26,54,95.42857142857143,93.54838709677419,100.0,100.0,99.0204081632653,0,100.0,-8
2018-01-14,Metro Hospital,Tuesday,175,31,175,28,0,51,28,28,89,100.0,90.32258064516128,95.42857142857143,98.28571428571429,99.26530612244899,0,100.0,23
2018-01-15,Metro Hospital,Wednesday,175,31,175,30,0,38,30,18,104,100.0,96.7741935483871,100.0,99.42857142857143,99.34693877551021,0,97.14285714285714,8
2018-01-16,Metro Hospital,Thursday,175,31,170,27,5,31,36,22,57,97.14285714285714,87.09677419354838,100.0,100.0,98.93877551020408,0,85.14285714285714,-5
2018-01-17,Metro Hospital,Friday,175,31,149,23,26,30,51,30,91,85.14285714285714,74.19354838709677,97.14285714285714,100.0,96.81632653061226,0,100.0,-21
2018-01-18,Metro Hospital,Saturday,175,31,175,23,0,64,27,16,84,100.0,74.19354838709677,85.14285714285714,100.0,96.81632653061226,0,100.0,37
2018-01-19,Metro Hospital,Sunday,175,31,175,24,0,58,53,20,67,100.0,77.41935483870968,100.0,100.0,96.81632653061226,0,97.14285714285714,5
2018-01-20,Metro Hospital,Monday,175,31,170,25,5,38,43,32,97,97.14285714285714,80.64516129032258,100.0,95.42857142857143,97.06122448979592,0,100.0,-5
2018-01-21,Metro Hospital,Tuesday,175,31,175,29,0,51,36,14,56,100.0,93.54838709677419,97.14285714285714,100.0,97.06122448979592,0,100.0,15
2018-01-22,Metro Hospital,Wednesday,175,31,175,28,0,49,36,21,106,100.0,90.32258064516128,100.0,100.0,97.06122448979592,0,100.0,13
2018-01-23,Metro Hospital,Thursday,175,31,175,31,0,38,27,23,86,100.0,100.0,100.0,97.14285714285714,97.46938775510205,0,100.0,11
2018-01-24,Metro Hospital,Friday,175,31,175,29,0,69,30,21,109,100.0,93.54838709677419,100.0,85.14285714285714,99.59183673469387,0,88.57142857142857,39
2018-01-25,Metro Hospital,Saturday,175,31,155,30,20,30,50,23,82,88.57142857142857,96.7741935483871,100.0,100.0,97.95918367346938,0,96.0,-20
2018-01-26,Metro Hospital,Sunday,175,31,168,30,7,61,48,23,90,96.0,96.7741935483871,88.57142857142857,100.0,97.38775510204083,0,100.0,13
2018-01-27,Metro Hospital,Monday,175,31,175,31,0,62,49,26,105,100.0,100.0,96.0,97.14285714285714,97.79591836734694,0,100.0,13
2018-01-28,Metro Hospital,Tuesday,175,31,175,28,0,34,24,23,93,100.0,90.32258064516128,100.0,100.0,97.79591836734694,0,100.0,10
2018-01-29,Metro Hospital,Wednesday,175,31,175,29,0,43,40,27,83,100.0,93.54838709677419,100.0,100.0,97.79591836734694,0,100.0,3
2018-01-30,Metro Hospital,Thursday,175,31,175,29,0,45,15,23,108,100.0,93.54838709677419,100.0,100.0,97.79591836734694,0,100.0,30
2018-01-31,Metro Hospital,Friday,175,31,175,31,0,63,51,22,101,100.0,100.0,100.0,100.0,97.79591836734694,0,100.0,12
2018-02-01,Metro Hospital,Saturday,175,31,175,27,0,57,22,27,65,100.0,87.09677419354838,100.0,88.57142857142857,99.42857142857143,0,100.0,35
2018-02-02,Metro Hospital,Sunday,175,31,175,31,0,70,15,22,59,100.0,100.0,100.0,96.0,100.0,0,96.57142857142857,55
2018-02-03,Metro Hospital,Monday,175,31,169,27,6,30,36,26,61,96.57142857142857,87.09677419354838,100.0,100.0,99.51020408163265,0,100.0,-6
2018-02-04,Metro Hospital,Tuesday,175,31,175,27,0,67,20,21,99,100.0,87.09677419354838,96.57142857142857,100.0,99.51020408163265,0,100.0,47
2018-02-05,Metro Hospital,Wednesday,175,31,175,25,0,61,22,25,108,100.0,80.64516129032258,100.0,100.0,99.51020408163265,0,100.0,39
2018-02-06,Metro Hospital,Thursday,175,31,175,24,0,40,28,29,74,100.0,77.41935483870968,100.0,100.0,99.51020408163265,0,100.0,12
2018-02-07,Metro Hospital,Friday,175,31,175,26,0,62,48,21,118,100.0,83.87096774193549,100.0,100.0,99.51020408163265,0,100.0,14
2018-02-08,Metro Hospital,Saturday,175,31,175,22,0,60,29,22,93,100.0,70.96774193548387,100.0,100.0,99.51020408163265,0,100.0,31
2018-02-09,Metro Hospital,Sunday,175,31,175,22,0,55,47,21,58,100.0,70.96774193548387,100.0,100.0,99.51020408163265,0,100.0,8
2018-02-10,Metro Hospital,Monday,175,31,175,20,0,42,37,34,103,100.0,64.51612903225806,100.0,96.57142857142857,100.0,0,96.0,5
2018-02-11,Metro Hospital,Tuesday,175,31,168,18,7,28,35,21,99,96.0,58.06451612903226,100.0,100.0,99.42857142857143,0,100.0,-7
2018-02-12,Metro Hospital,Wednesday,175,31,175,21,0,49,37,28,119,100.0,67.74193548387096,96.0,100.0,99.42857142857143,0,100.0,12
2018-02-13,Metro Hospital,Thursday,175,31,175,17,0,30,20,16,79,100.0,54.83870967741935,100.0,100.0,99.42857142857143,0,85.71428571428571,10
2018-02-14,Metro Hospital,Friday,175,31,150,19,25,28,53,23,116,85.71428571428571,61.29032258064516,100.0,100.0,97.38775510204081,0,100.0,-25
